0	173.0000	original lat/lon values
10000000	1600000	false northing/easting values
STREET	NORTHING	EASTING	HOUSE #
			
CUBA ST	5426854.47	1748535.94	236
CUBA ST	5426843.2	1748543.77	 
CUBA ST	5426709.52	1748481.38	297
CUBA ST	5426687.01	1748474	 
CUBA ST	5426686.34	1748462.09	 
CUSTOMHOUSE QUAY-SLIP	5427926.67	1748749.24	119
CUSTOMHOUSE QUAY-SLIP	5428002.68	1748781.94	99
CUSTOMHOUSE QUAY-SLIP	5428096.19	1748818.26	 
CUSTOMHOUSE QUAY-SLIP	5428104.03	1748821.85	 
CUSTOMHOUSE QUAY-SLIP	5428130.53	1748839.01	 
DIXON ST	5427281.62	1748885.08	2
DIXON ST	5427290.1	1748877.37	2
DIXON ST	5427297.4	1748860.71	2
DIXON ST	5427311.1	1748838.18	36
DIXON ST	5427313.19	1748816.95	42
DIXON ST	5427319.53	1748776.03	49
DIXON ST	5427365.17	1748674.29	53
DIXON ST	5427368.96	1748647.91	79
DIXON ST	5427428.54	1748528.38	 
DUNLOP TCE	5426962.69	1748652.28	 
DUNLOP TCE	5426939.75	1748667.8	 
DUNLOP TCE	5426948.22	1748646.29	 
EGMONT ST	5427275.52	1748866.92	 
ELLICE ST	5426439.65	1749148.2	9
EVERTON TCE	5428045.88	1748523.29	 
FARMERS LANE	5428455.61	1748718.27	 
FARMERS LANE	5428467.83	1748717.71	 
FEATHERSTON ST	5428817.36	1749091.95	 
FEATHERSTON ST	5428452.81	1748901.13	 
FEATHERSTON ST	5428458.72	1748887.54	 
FEATHERSTON ST	5428318	1748841.73	131
FEATHERSTON ST	5428325.79	1748823.91	 
FEATHERSTON ST	5428307.06	1748816.31	140
FEATHERSTON ST	5428299.63	1748831.52	135
FEATHERSTON ST	5428261.32	1748794.97	 
FEATHERSTON ST	5428197.31	1748785.7	14
FEATHERSTON ST	5428198.57	1748767.89	166
FEATHERSTON ST	5428181.31	1748760.65	332
FEATHERSTON ST	5428130.64	1748755.16	332
FEATHERSTON ST	5428055.92	1748721.84	187
FEATHERSTON ST	5428057.11	1748703.45	332
FEATHERSTON ST	5428056.88	1748705.44	332
FEATHERSTON ST	5428033.86	1748703.85	231
GARRETT ST	5427137.32	1748600.84	 
GARRETT ST-#18 SL	5427146.72	1748593.83	 
GARRETT ST-#18 SL	5427153.88	1748587.12	 
GARRETT ST-#18 SL	5427151.04	1748603.45	 
GARRETT ST-#18 SL	5427169.42	1748609.93	75
GARRETT ST-#18 SL	5427178.37	1748607.7	75
GHUZNEE ST	5427254.22	1748456.54	 
GHUZNEE ST	5427226.12	1748506.3	 
GHUZNEE ST	5427221.75	1748572.94	76
GHUZNEE ST	5427212.1	1748594.75	76
GHUZNEE ST	5427185.68	1748603.27	 
GHUZNEE ST	5427174.97	1748640.06	59
GHUZNEE ST	5427164.07	1748670.55	 
GHUZNEE ST	5427173.68	1748675.24	52A
GHUZNEE ST	5427123.75	1748756.47	29
GHUZNEE ST	5427095.49	1748855.6	6
GREY ST	5428132.04	1748736.67	 
GREY ST	5428117.38	1748728.16	15
GREY ST	5428138.33	1748715.1	22
GREY ST	5428139.82	1748713.93	 
GREY ST	5428128.66	1748703.47	15
GREY ST	5428129.29	1748700.45	15
GREY ST	5428134.8	1748693.08	215
GREY ST	5428135.26	1748690.27	 
GREY ST	5428136.36	1748687.97	215
GREY ST	5428137.11	1748687.07	215
GREY ST	5428151.8	1748692.88	 
GREY ST	5428137.34	1748685.6	 
GREY ST	5428152.79	1748689.2	215
HALLEYS LANE	5427307.75	1748987.75	35
HARRIS ST	5427742.21	1748837.9	25
HOBSON ST	5429560.87	1749106.7	 
INGLEWOOD PL	5427256.11	1748910.82	52
JERVOIS QUAY-WEST	5428103.66	1748845.13	 
JOHNSTON ST	5428335.73	1748760.05	41
JOHNSTON ST	5428323.39	1748785.59	35
JOHNSTON ST	5428274.22	1748887.74	 
JOHNSTON ST	5428292.77	1748896.83	 
KATE SHEPPARD PL	5428893.28	1748892.22	 
KATE SHEPPARD PL	5428875.06	1748899.09	 
KENT TCE	5426949.6	1749310.73	 
KENT TCE	5426886.51	1749303.78	 
KENT TCE	5426868.25	1749293.7	30
KENT TCE	5426746.74	1749241.95	44
KENT TCE	5426462.05	1749114.01	85
KNIGGES AVE	5426926.06	1748709.12	 
KNIGGES AVE	5426929.84	1748687.48	2
LAMBTON QUAY	5427924.34	1748732.37	2
LAMBTON QUAY	5427938.91	1748738.75	 
LAMBTON QUAY	5427949.44	1748726.41	2
LAMBTON QUAY	5427958.48	1748723.22	354
LAMBTON QUAY	5427996.17	1748710.33	 
LAMBTON QUAY	5428069.46	1748695.53	332
LAMBTON QUAY	5428085.47	1748679.39	312
LAMBTON QUAY	5428088.98	1748678.03	312
LAMBTON QUAY	5428147.07	1748668.46	215
LAMBTON QUAY	5428206.85	1748664.84	256
LAMBTON QUAY	5428283.85	1748667.37	193
LAMBTON QUAY	5428326.6	1748682.46	33
LAMBTON QUAY	5428353.45	1748692.48	33
LAMBTON QUAY	5428391.17	1748711.72	 
LAMBTON QUAY	5428488.13	1748715.83	35
LAMBTON QUAY	5428500.53	1748713.39	35
LAMBTON QUAY	5428502.88	1748713.29	35
LAMBTON QUAY	5428548.32	1748707.79	126
LAMBTON QUAY	5428629.57	1748722.34	85
LAMBTON QUAY	5428630.77	1748723.14	85
LAMBTON QUAY	5428677.83	1748781.22	93
LAMBTON QUAY	5428785.79	1748893.71	 
LAMBTON QUAY	5428793.15	1748940.97	 
LAMBTON QUAY	5428793.89	1748943.21	 
LAMBTON QUAY	5428860.14	1749054.35	 
LAMBTON QUAY-EAST	5428689.64	1748846.24	140
LAMBTON QUAY-EAST	5428664.33	1748808.95	126
LAMBTON QUAY-EAST	5428643.98	1748775.99	102
LAMBTON QUAY-EAST	5428519.14	1748739.04	 
LAMBTON QUAY-EAST	5428724.03	1748842.17	 
LAMBTON QUAY-EAST	5428722.39	1748842.9	 
LAMBTON QUAY-EAST	5428726.07	1748841.07	 
LAMBTON QUAY-EAST	5428725.3	1748844.35	 
LAMBTON QUAY-EAST	5428513.96	1748739.96	 
LAMBTON QUAY-EAST	5428726.93	1748846.71	 
LAMBTON QUAY-EAST	5428470.08	1748746.44	 
LAMBTON QUAY-EAST	5428379.56	1748737.12	 
LAMBTON QUAY-EAST	5428347.71	1748722.67	19A
LAMBTON QUAY-EAST	5428320.28	1748710.55	19A
LAMBTON QUAY-EAST	5428318.28	1748709.28	19A
LAMBTON QUAY-EAST	5428280.86	1748695.99	193
LOMBARD ST	5427553.87	1748728.37	 
LOMBARD ST	5427518.3	1748720.81	1
MACDONALD CRES	5427462.92	1748446.69	 
