Northing	 Easting	       	 Latitude	 Longitude
       	5427499.2	1748819.5	       	41 17 24.870 S	174 46 38.292 E
       	5427491.9	1748836.3	       	41 17 25.093 S	174 46 39.022 E
       	5427473.9	1748828.9	       	41 17 25.682 S	174 46 38.720 E
       	5427479.7	1748811.5	       	41 17 25.505 S	174 46 37.967 E
       	5427461.3	1748803.4	       	41 17 26.109 S	174 46 37.636 E
       	5427453.0	1748819.3	       	41 17 26.368 S	174 46 38.327 E
       	5427441.2	1748797.0	       	41 17 26.763 S	174 46 37.377 E
       	5427433.5	1748810.3	       	41 17 27.004 S	174 46 37.957 E
       	5427358.3	1748773.6	       	41 17 29.467 S	174 46 36.448 E
       	5427360.7	1748765.1	       	41 17 29.394 S	174 46 36.080 E
       	5427323.2	1748750.4	       	41 17 30.618 S	174 46 35.481 E
       	5427301.0	1748738.0	       	41 17 31.349 S	174 46 34.966 E
       	5427297.0	1748744.4	       	41 17 31.472 S	174 46 35.246 E
       	5427278.7	1748728.5	       	41 17 32.078 S	174 46 34.577 E
       	5427260.7	1748725.6	       	41 17 32.661 S	174 46 34.470 E
       	5427232.6	1748711.5	       	41 17 33.581 S	174 46 33.889 E
       	5427190.9	1748687.4	       	41 17 34.949 S	174 46 32.887 E
       	5427180.5	1748684.1	       	41 17 35.290 S	174 46 32.757 E
       	5427169.5	1748687.4	       	41 17 35.642 S	174 46 32.905 E
       	5427173.3	1748678.7	       	41 17 35.527 S	174 46 32.530 E
       	5427154.9	1748683.0	       	41 17 36.120 S	174 46 32.729 E
       	5427104.6	1748647.4	       	41 17 37.773 S	174 46 31.245 E
       	5427067.8	1748644.4	       	41 17 38.969 S	174 46 31.150 E
       	5426977.6	1748603.7	       	41 17 41.918 S	174 46 29.479 E
       	5426977.5	1748589.9	       	41 17 41.931 S	174 46 28.886 E
       	5426958.8	1748596.1	       	41 17 42.535 S	174 46 29.167 E
       	5426943.2	1748588.9	       	41 17 43.044 S	174 46 28.875 E
       	5426914.3	1748562.3	       	41 17 43.999 S	174 46 27.755 E
       	5426903.6	1748572.0	       	41 17 44.340 S	174 46 28.182 E
       	5426854.5	1748535.9	       	41 17 45.955 S	174 46 26.675 E
       	5426843.2	1748543.8	       	41 17 46.315 S	174 46 27.022 E
       	5426709.5	1748481.4	       	41 17 50.689 S	174 46 24.458 E
       	5426687.0	1748474.0	       	41 17 51.423 S	174 46 24.160 E
       	5426686.3	1748462.1	       	41 17 51.453 S	174 46 23.649 E
       	5427926.7	1748749.2	       	41 17 11.061 S	174 46 34.899 E
       	5428002.7	1748781.9	       	41 17 08.575 S	174 46 36.237 E
       	5428096.2	1748818.3	       	41 17 05.520 S	174 46 37.716 E
       	5428104.0	1748821.9	       	41 17 05.264 S	174 46 37.863 E
       	5428130.5	1748839.0	       	41 17 04.393 S	174 46 38.577 E
       	5427281.6	1748885.1	       	41 17 31.878 S	174 46 41.304 E
       	5427290.1	1748877.4	       	41 17 31.608 S	174 46 40.965 E
       	5427297.4	1748860.7	       	41 17 31.383 S	174 46 40.243 E
       	5427311.1	1748838.2	       	41 17 30.954 S	174 46 39.263 E
       	5427313.2	1748817.0	       	41 17 30.900 S	174 46 38.349 E
       	5427319.5	1748776.0	       	41 17 30.722 S	174 46 36.584 E
       	5427365.2	1748674.3	       	41 17 29.310 S	174 46 32.172 E
       	5427369.0	1748647.9	       	41 17 29.205 S	174 46 31.035 E
       	5427428.5	1748528.4	       	41 17 27.353 S	174 46 25.846 E
       	5426962.7	1748652.3	       	41 17 42.370 S	174 46 31.580 E
       	5426939.8	1748667.8	       	41 17 43.103 S	174 46 32.267 E
       	5426948.2	1748646.3	       	41 17 42.843 S	174 46 31.335 E
       	5427275.5	1748866.9	       	41 17 32.088 S	174 46 40.529 E
       	5426439.7	1749148.2	       	41 17 58.993 S	174 46 53.355 E
       	5428045.9	1748523.3	       	41 17 07.346 S	174 46 25.085 E
       	5428455.6	1748718.3	       	41 16 53.937 S	174 46 33.103 E
       	5428467.8	1748717.7	       	41 16 53.541 S	174 46 33.069 E
       	5428817.4	1749092.0	       	41 16 41.964 S	174 46 48.841 E
       	5428452.8	1748901.1	       	41 16 53.906 S	174 46 40.963 E
       	5428458.7	1748887.5	       	41 16 53.724 S	174 46 40.374 E
       	5428318.0	1748841.7	       	41 16 58.315 S	174 46 38.529 E
       	5428325.8	1748823.9	       	41 16 58.075 S	174 46 37.757 E
       	5428307.1	1748816.3	       	41 16 58.687 S	174 46 37.447 E
       	5428299.6	1748831.5	       	41 16 58.917 S	174 46 38.107 E
       	5428261.3	1748795.0	       	41 17 00.183 S	174 46 36.570 E
       	5428197.3	1748785.7	       	41 17 02.264 S	174 46 36.228 E
       	5428198.6	1748767.9	       	41 17 02.235 S	174 46 35.461 E
       	5428181.3	1748760.6	       	41 17 02.800 S	174 46 35.166 E
       	5428130.6	1748755.2	       	41 17 04.446 S	174 46 34.974 E
       	5428055.9	1748721.8	       	41 17 06.889 S	174 46 33.608 E
       	5428057.1	1748703.5	       	41 17 06.863 S	174 46 32.817 E
       	5428056.9	1748705.4	       	41 17 06.869 S	174 46 32.903 E
       	5428033.9	1748703.9	       	41 17 07.616 S	174 46 32.854 E
       	5427137.3	1748600.8	       	41 17 36.744 S	174 46 29.216 E
       	5427146.7	1748593.8	       	41 17 36.444 S	174 46 28.906 E
       	5427153.9	1748587.1	       	41 17 36.216 S	174 46 28.612 E
       	5427151.0	1748603.5	       	41 17 36.297 S	174 46 29.316 E
       	5427169.4	1748609.9	       	41 17 35.697 S	174 46 29.578 E
       	5427178.4	1748607.7	       	41 17 35.409 S	174 46 29.475 E
       	5427254.2	1748456.5	       	41 17 33.050 S	174 46 22.912 E
       	5427226.1	1748506.3	       	41 17 33.928 S	174 46 25.075 E
       	5427221.8	1748572.9	       	41 17 34.026 S	174 46 27.943 E
       	5427212.1	1748594.8	       	41 17 34.324 S	174 46 28.888 E
       	5427185.7	1748603.3	       	41 17 35.175 S	174 46 29.278 E
       	5427175.0	1748640.1	       	41 17 35.497 S	174 46 30.868 E
       	5427164.1	1748670.6	       	41 17 35.830 S	174 46 32.188 E
       	5427173.7	1748675.2	       	41 17 35.516 S	174 46 32.381 E
       	5427123.8	1748756.5	       	41 17 37.080 S	174 46 35.916 E
       	5427095.5	1748855.6	       	41 17 37.931 S	174 46 40.201 E
       	5428132.0	1748736.7	       	41 17 04.412 S	174 46 34.178 E
